"class"	"path"	"top"	"reason"
"excluded-ignored"	"__pycache__/main.cpython-310.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	"__pycache__/main.cpython-313.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	"__pycache__/pb_studio.cpython-313.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	"__pycache__/setup_pb_studio.cpython-310.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	"__pycache__/start_pb_studio.cpython-310.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	"__pycache__/start_pb_studio.cpython-313.pyc"	"__pycache__"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audio-reactive/_meta.json"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audio-reactive/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/assets/audit-report-template.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/assets/severity-matrix.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/checklists/audit-completion.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/architecture-review-guide.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/audit-scope-dialog.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/dependency-audit-guide.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/report-structure.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/security-audit-guide.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/token-budget-planning.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/references/token-estimation.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/rules/_sections.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/rules/finding-severity-classification.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/rules/scope-declaration.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/scripts/estimate-tokens.sh"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/audit-full/test-cases.json"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/code-review-and-quality/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/computer-vision-opencv/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/doc-sys-audit/doc-sys-audit"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/exhaustive-systems-analysis/agents/openai.yaml"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/exhaustive-systems-analysis/references/checklists.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/exhaustive-systems-analysis/references/templates.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/ffmpeg/reference.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/ffmpeg/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/find-skills/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/frontend-design/LICENSE.txt"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/frontend-design/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/references/memory-leak-detection.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/references/memory-profiling.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/references/monitoring-targets.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/references/optimization-techniques.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/memory-optimization/templates/component-template.tsx"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/music-video-generation/references/SSE-EVENTS.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/music-video-generation/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-db-architect/references/pb_studio_workflow.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-db-architect/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-functional-tester/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-pipeline-expert/references/pb_studio_workflow.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-pipeline-expert/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-fixer/references/module-map.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-fixer/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-master/references/module-map.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-master/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-orchestrator/references/module-map.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-orchestrator/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-tester/references/module-map.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-rebuild-tester/SKILL.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-ui-specialist/references/pb_studio_workflow.md"	".agents"	"ignored by git status --ignored"
"excluded-ignored"	".agents/skills/pb-ui-specialist/SKILL.md"	".agents"	"ignored by git status --ignored"
